chembl id,Number of Articles Mentioned,Names Used,Mentioned in Articles,chembl url
CHEMBL435,9,"['oretic', 'zide']","['G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry', 'Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Fibrogenic Gene Expression in Hepatic Stellate Cells Induced by HCV and HIV Replication in a Three Cell Co-Culture Model System', 'In-depth validation of total HIV-1 DNA assays for quantification of various HIV-1 subtypes', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A majority of HIV persistence during antiretroviral therapy is due to infected cell proliferation', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL435
CHEMBL439,2,['ssd'],"['Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL439
CHEMBL39,1,['5-ht'],['Disruption of Timing: NeuroHIV Progression in the Post-cART Era'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL39
CHEMBL40,1,['luminal'],['Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL40
CHEMBL1200703,3,['librium'],"['Fibrogenic Gene Expression in Hepatic Stellate Cells Induced by HCV and HIV Replication in a Three Cell Co-Culture Model System', 'Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200703
CHEMBL1723241,3,"['cetamide', 'bleph']","['Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'The effect of interventions on the transmission and spread of HIV in South Africa: a phylodynamic analysis']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1723241
CHEMBL8085,6,['lysine'],"['Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'Differentially expressed host long intergenic noncoding RNA and mRNA in HIV-1 and HIV-2 infection']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL8085
CHEMBL42336,2,['methionine'],"['Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL42336
CHEMBL57,5,['nevirapine'],"['Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'Investigation of prevention of mother to child HIV transmission program from 2011 to 2017 in Suzhou, China', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL57
CHEMBL59,3,['dopamine'],"['Disruption of Timing: NeuroHIV Progression in the Post-cART Era', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL59
CHEMBL64,36,['inh'],"['Transmission patterns of HIV-1 non-R5 strains in Poland', 'HIV infection and latency induce a unique metabolic signature in human macrophages', 'Impact of HIV-ART on the restoration of Th17 and Treg cells in blood and female genital mucosa', 'G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry', 'Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s', 'Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine', 'High Abundance of genus Prevotella in the gut of perinatally HIV-infected children is associated with IP-10 levels despite therapy', 'Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy', 'Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches', 'Disruption of Timing: NeuroHIV Progression in the Post-cART Era', 'Fibrogenic Gene Expression in Hepatic Stellate Cells Induced by HCV and HIV Replication in a Three Cell Co-Culture Model System', 'Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Seroprevalence of six pathogens transmitted by the Ixodes ricinus ticks in asymptomatic individuals with HIV infection and in blood donors', 'Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'In-depth validation of total HIV-1 DNA assays for quantification of various HIV-1 subtypes', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'HIV-1 vaccination by needle-free oral injection induces strong mucosal immunity and protects against SHIV challenge', 'PD-1 blockade potentiates HIV latency reversal ex vivo in CD4+ T cells from ART-suppressed individuals', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim', 'Prevalence of hepatitis E infection in HIV/HCV-coinfected patients in Spain (2012–2014)', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy', 'Rationally designed carbohydrate-occluded epitopes elicit HIV-1 Env-specific antibodies', 'Differentially expressed host long intergenic noncoding RNA and mRNA in HIV-1 and HIV-2 infection', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL64
CHEMBL472,1,['glibenclamide'],['G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL472
CHEMBL476,41,['dic'],"['Transmission patterns of HIV-1 non-R5 strains in Poland', 'HIV infection and latency induce a unique metabolic signature in human macrophages', 'Impact of HIV-ART on the restoration of Th17 and Treg cells in blood and female genital mucosa', 'G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry', 'Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s', 'Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine', 'High Abundance of genus Prevotella in the gut of perinatally HIV-infected children is associated with IP-10 levels despite therapy', 'Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy', 'Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches', 'Disruption of Timing: NeuroHIV Progression in the Post-cART Era', 'Comparison of visceral fat measurement by dual-energy X-ray absorptiometry to computed tomography in HIV and non-HIV', 'Fibrogenic Gene Expression in Hepatic Stellate Cells Induced by HCV and HIV Replication in a Three Cell Co-Culture Model System', 'Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Seroprevalence of six pathogens transmitted by the Ixodes ricinus ticks in asymptomatic individuals with HIV infection and in blood donors', 'Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'Longitudinal HIV sequencing reveals reservoir expression leading to decay which is obscured by clonal expansion', 'The effect of interventions on the transmission and spread of HIV in South Africa: a phylodynamic analysis', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'In-depth validation of total HIV-1 DNA assays for quantification of various HIV-1 subtypes', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'HIV-1 vaccination by needle-free oral injection induces strong mucosal immunity and protects against SHIV challenge', 'PD-1 blockade potentiates HIV latency reversal ex vivo in CD4+ T cells from ART-suppressed individuals', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'A majority of HIV persistence during antiretroviral therapy is due to infected cell proliferation', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim', 'Investigation of prevention of mother to child HIV transmission program from 2011 to 2017 in Suzhou, China', 'Prevalence of hepatitis E infection in HIV/HCV-coinfected patients in Spain (2012–2014)', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy', 'Rationally designed carbohydrate-occluded epitopes elicit HIV-1 Env-specific antibodies', 'Differentially expressed host long intergenic noncoding RNA and mRNA in HIV-1 and HIV-2 infection', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL476
CHEMBL477,4,['adenosine'],"['Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL477
CHEMBL3989702,4,['tenofovir'],"['Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'Investigation of prevention of mother to child HIV transmission program from 2011 to 2017 in Suzhou, China', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3989702
CHEMBL483,1,['truvada'],['Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL483
CHEMBL74,5,['murine'],"['Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine', 'Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL74
CHEMBL267345,3,['fungizone'],"['Impact of HIV-ART on the restoration of Th17 and Treg cells in blood and female genital mucosa', 'The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL267345
CHEMBL274323,2,['aspartic acid'],"['Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL274323
CHEMBL12198,5,['alanine'],"['Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'Targeted editing of the PSIP1 gene encoding LEDGF/p75 protects cells against HIV infection', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL12198
CHEMBL11298,6,['serine'],"['HIV infection and latency induce a unique metabolic signature in human macrophages', 'Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL11298
CHEMBL504,8,"['dimethyl sulfoxide', 'dmso']","['Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry', 'The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'In-depth validation of total HIV-1 DNA assays for quantification of various HIV-1 subtypes', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL504
CHEMBL416340,1,['deoxyadenosine'],['Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL416340
CHEMBL96,1,['aminobutyric acid'],['Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL96
CHEMBL98,1,['vorinostat'],['Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL98
CHEMBL521,2,['ibular'],"['Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy', 'HIV-1 vaccination by needle-free oral injection induces strong mucosal immunity and protects against SHIV challenge']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL521
CHEMBL532,8,"['e-base', 't-stat']","['Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches', 'Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'HIV-1 vaccination by needle-free oral injection induces strong mucosal immunity and protects against SHIV challenge', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy', 'Rationally designed carbohydrate-occluded epitopes elicit HIV-1 Env-specific antibodies', 'Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL532
CHEMBL103,3,"['progesterone', 'progestin']","['The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL103
CHEMBL539,3,['acetic acid'],"['A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL539
CHEMBL266158,1,['pyridine'],['G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL266158
CHEMBL14090,1,['chloroacetic acid'],['Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL14090
CHEMBL13968,12,['nba'],"['Transmission patterns of HIV-1 non-R5 strains in Poland', 'Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s', 'The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Disruption of Timing: NeuroHIV Progression in the Post-cART Era', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'Longitudinal HIV sequencing reveals reservoir expression leading to decay which is obscured by clonal expansion', 'The effect of interventions on the transmission and spread of HIV in South Africa: a phylodynamic analysis', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'Rationally designed carbohydrate-occluded epitopes elicit HIV-1 Env-specific antibodies', 'Differentially expressed host long intergenic noncoding RNA and mRNA in HIV-1 and HIV-2 infection', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL13968
CHEMBL541,1,['benzoic acid'],['Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL541
CHEMBL14053,4,"['trichloroacetic acid', 'tcaa']","['Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Intron-containing RNA from the HIV-1 provirus activates type I interferon and inflammatory cytokines', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL14053
CHEMBL14060,2,['phenol'],"['Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL14060
CHEMBL545,20,"['ethanol', 'alcohol', 'surg']","['The contraceptive medroxyprogesterone acetate, unlike norethisterone, directly increases R5 HIV-1 infection in human cervical explant tissue at physiologically relevant concentrations', 'Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches', 'Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'PD-1 blockade potentiates HIV latency reversal ex vivo in CD4+ T cells from ART-suppressed individuals', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway', 'Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy', 'Rationally designed carbohydrate-occluded epitopes elicit HIV-1 Env-specific antibodies', 'Activity and structural analysis of GRL-117C: a novel small molecule CCR5 inhibitor active against R5-tropic HIV-1s', 'Comparison of visceral fat measurement by dual-energy X-ray absorptiometry to computed tomography in HIV and non-HIV', 'Fibrogenic Gene Expression in Hepatic Stellate Cells Induced by HCV and HIV Replication in a Three Cell Co-Culture Model System', 'Seroprevalence of six pathogens transmitted by the Ixodes ricinus ticks in asymptomatic individuals with HIV infection and in blood donors', 'Prevalence of hepatitis E infection in HIV/HCV-coinfected patients in Spain (2012–2014)', 'Effects of HIV on executive function and verbal fluency in Cameroon', 'Transmission patterns of HIV-1 non-R5 strains in Poland']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL545
