Synonym,Chembl ID
ro-145975,CHEMBL269705
4-(hydroxymethyl)benzenesulfonamide,CHEMBL6919
4-hydroxymethyl-benzenesulfonamide,CHEMBL6919
piperidin-(2e)-ylideneamine,CHEMBL269058
piperidin-(2z)-ylideneamine,CHEMBL269058
2-amino-benzenesulfonamide,CHEMBL6705
2-aminobenzenesulfonamide,CHEMBL6705
3-amino-benzenesulfonamide,CHEMBL6852
3-aminobenzenesulfonamide,CHEMBL6852
clomipramine,CHEMBL415
anafranil,CHEMBL1200710
fencamfamin,CHEMBL7010
benzolactam-v8,CHEMBL267144
gnf-pf-785,CHEMBL268356
tcmdc-137192,CHEMBL268584
gnf-pf-2448,CHEMBL268584
methoxsalen,CHEMBL416
8-methoxypsoralen,CHEMBL416
xanthotoxin,CHEMBL416
8-mop,CHEMBL416
deltasoralen,CHEMBL416
meladinine,CHEMBL416
oxsoralen,CHEMBL416
oxsoralen-ultra,CHEMBL416
puvasoralen-8,CHEMBL416
uvadex,CHEMBL416
quinoline-8-sulfonamide,CHEMBL268809
quinoline-8-sulfonic acid amide,CHEMBL268809
diclofenamide,CHEMBL17
dichlorphenamide,CHEMBL17
daranide,CHEMBL17
keveyis,CHEMBL17
oratrol,CHEMBL17
racemic dotfm,CHEMBL6620
brolamfetamine,CHEMBL6607
ethoxzolamide,CHEMBL18
cardrase,CHEMBL18
ethamide,CHEMBL18
epirubicin,CHEMBL417
ellence,CHEMBL1200981
methazolamide,CHEMBL19
neptazane,CHEMBL19
acetazolamide,CHEMBL20
diamox,CHEMBL1200814
diamox sr,CHEMBL20
eytazox,CHEMBL20
"2,4-disulfamyltrifluoromethylaniline",CHEMBL418
mafenide,CHEMBL419
4-homosulfanilamide,CHEMBL419
sulfamylon,CHEMBL1201161
4-hydrazino-benzenesulfonamide,CHEMBL7204
4-hydrazinylbenzenesulfonamide,CHEMBL7204
sulfanilamide,CHEMBL21
guanabenz,CHEMBL420
wy-8678,CHEMBL1200560
trimethoprim,CHEMBL22
polytrim,CHEMBL3989714
primsol,CHEMBL1201080
tcmdc-125538,CHEMBL22
bw-56-72,CHEMBL22
bw-5672,CHEMBL22
ipral,CHEMBL22
ledatrim,CHEMBL22
monotrim,CHEMBL22
proloprim,CHEMBL22
proloprin,CHEMBL22
syraprim,CHEMBL22
tiempe,CHEMBL22
trimogal,CHEMBL22
trimopan,CHEMBL22
trimpex,CHEMBL22
trimpex 200,CHEMBL22
triprimix 200,CHEMBL22
verapamil,CHEMBL6966
calan,CHEMBL1280
covera-hs,CHEMBL6966
iproveratril,CHEMBL6966
isoptin,CHEMBL1280
tarka,CHEMBL6966
verelan,CHEMBL1280
cp-16533-1,CHEMBL6966
cp-165331,CHEMBL6966
d-365,CHEMBL551960
sulfasalazine,CHEMBL421
salazosulfapyridine,CHEMBL421
azulfidine,CHEMBL421
salicylazosulfapyridine,CHEMBL421
sulphasalazine,CHEMBL421
sas-500,CHEMBL421
azulfidine en,CHEMBL421
azulfidine en-tabs,CHEMBL421
colizine,CHEMBL421
s.a.s.,CHEMBL421
s.a.s.-500,CHEMBL421
salazopyrin,CHEMBL421
salazopyrin e.c.,CHEMBL421
salazopyrin-en,CHEMBL421
ucine,CHEMBL421
wr-159412,CHEMBL268089
coumarin,CHEMBL6466
lodema,CHEMBL6466
"quinazoline-2,4-diamine",CHEMBL268354
bw-a78u,CHEMBL7359
diltiazem,CHEMBL23
cardizem,CHEMBL1697
dilt-cd,CHEMBL23
diltzac,CHEMBL1697
tiamate,CHEMBL1200805
tiazac,CHEMBL1697
atenolol,CHEMBL24
esatenolol,CHEMBL343633
ici-66082,CHEMBL24
antipressan,CHEMBL24
atenamin,CHEMBL24
atenix-100,CHEMBL24
atenix-25,CHEMBL24
atenix-50,CHEMBL24
ibinolo,CHEMBL24
kentol,CHEMBL24
tenormin,CHEMBL24
tenormin 25,CHEMBL24
tenormin l.s.,CHEMBL24
totamol,CHEMBL24
unibloc,CHEMBL24
vasaten,CHEMBL24
acetylsalicylic acid,CHEMBL25
aspirin,CHEMBL25
8-hour bayer,CHEMBL25
acetosalic acid,CHEMBL25
acetylsalic acid,CHEMBL25
alka rapid,CHEMBL25
anadin all night,CHEMBL25
angettes 75,CHEMBL25
aspro clr,CHEMBL25
bayer extra strength,CHEMBL25
danamep,CHEMBL25
disprin cv,CHEMBL25
disprin direct,CHEMBL25
durlaza,CHEMBL25
ecotrin,CHEMBL25
enprin,CHEMBL25
equi-prin,CHEMBL25
gencardia,CHEMBL25
levius,CHEMBL25
max strgh aspro clr,CHEMBL25
measurin,CHEMBL25
micropirin ec,CHEMBL25
nu-seals 300,CHEMBL25
nu-seals 600,CHEMBL25
nu-seals 75,CHEMBL25
nu-seals cardio 75,CHEMBL25
paynocil,CHEMBL25
platet,CHEMBL25
platet 300,CHEMBL25
postmi 300,CHEMBL25
postmi 75,CHEMBL25
salicylic acid acetate,CHEMBL25
tcmdc-138101,CHEMBL7050
4-aminoquinazoline,CHEMBL266128
gnf-pf-690,CHEMBL7077
trifluoperazine,CHEMBL422
amylozine,CHEMBL422
stelazine,CHEMBL1257040
stelazine fte,CHEMBL422
sulpiride,CHEMBL26
dogmatyl,CHEMBL26
dolmatil,CHEMBL26
"1,2,3,4-tetrahydro-quinazoline",CHEMBL267003
"quinazoline-2,4,6-triamine",CHEMBL6885
betaxolol,CHEMBL1691
betoptic,CHEMBL1691
kerledex,CHEMBL423
kerlone,CHEMBL1691
betoptic susp,CHEMBL423
salicylic acid,CHEMBL424
2-hydroxy-benzoic acid,CHEMBL424
acnisal,CHEMBL424
advanced pain relief callus removers,CHEMBL424
advanced pain relief com removers,CHEMBL424
bazuka,CHEMBL424
clear away wart remover,CHEMBL424
compound v,CHEMBL424
compound w,CHEMBL424
cuplex verruca,CHEMBL424
dr. scholl's callus removers,CHEMBL424
dr. scholl's corn removers,CHEMBL424
dr. scholl's wart remover kit,CHEMBL424
duofilm,CHEMBL424
duofilm wart remover,CHEMBL424
duoplant,CHEMBL424
edinburgh,CHEMBL424
erytex,CHEMBL424
freezone,CHEMBL424
gppe paint,CHEMBL424
ionil,CHEMBL424
ionil-plus,CHEMBL424
jadit,CHEMBL424
keralyt,CHEMBL424
metanium,CHEMBL424
necol,CHEMBL424
noxacorn,CHEMBL424
occlusal,CHEMBL424
phiso-clear,CHEMBL424
phytex,CHEMBL424
phytocil,CHEMBL424
posalfilin,CHEMBL424
pyralvex,CHEMBL424
salactol,CHEMBL424
salatac,CHEMBL424
salicylic acid soap,CHEMBL424
saligel,CHEMBL424
stri-dex,CHEMBL424
thwart,CHEMBL424
toepedo,CHEMBL424
verrugon,CHEMBL424
wartex,CHEMBL424
olsalazine,CHEMBL425
dipentum,CHEMBL1201013
propranolol,CHEMBL27
inderal,CHEMBL1671
inderide-40/25,CHEMBL27
inderide-80/25,CHEMBL27
benzamide,CHEMBL267373
practolol,CHEMBL6995
ay-21011,CHEMBL6995
ici-50172,CHEMBL6995
[3-(4-acetylamino-phenoxy)-2-hydroxy-propyl]-isopropyl-ammonium,CHEMBL6995
eraldin,CHEMBL6995
2'-hydroxygenistein,CHEMBL6665
methotrexate,CHEMBL34259
tcmdc-123832,CHEMBL34259
tcmdc-125488,CHEMBL34259
tcmdc-125858,CHEMBL34259
4-quinazolone,CHEMBL266540
quinazolin-4-ol,CHEMBL266540
theralin,CHEMBL7348
chlormethine,CHEMBL427
mechlorethamine,CHEMBL427
mustargen,CHEMBL1201001
tcmdc-141975,CHEMBL7134
ciglitazone,CHEMBL7002
add-3878,CHEMBL7002
u-63287,CHEMBL7002
fr-79620,CHEMBL6893
cgs-27023a,CHEMBL514138
nsc-83244,CHEMBL28
benzylpenicillin,CHEMBL29
benzylpenicillin ,CHEMBL29
penicillin g,CHEMBL29
bicillin,CHEMBL3989515
penicillin-2,CHEMBL1223
permapen,CHEMBL3989515
pfizerpen-as,CHEMBL29
crystapen g,CHEMBL29
trovafloxacin,CHEMBL428
cimetidine,CHEMBL30
acid-eze,CHEMBL30
acitak 200,CHEMBL30
acitak 400,CHEMBL30
acitak 800,CHEMBL30
brumetadina,CHEMBL30
dyspamet,CHEMBL30
galenamet,CHEMBL30
kentamet,CHEMBL30
peptimax 200,CHEMBL30
peptimax 400,CHEMBL30
peptimax 800,CHEMBL30
tagadine,CHEMBL30
tagamet,CHEMBL1201051
tagamet 100,CHEMBL30
tagamet hb,CHEMBL30
tagamet hb 200,CHEMBL30
ultec,CHEMBL30
valmagen,CHEMBL30
zita,CHEMBL30
ns-398,CHEMBL7162
gatifloxacin,CHEMBL31
am-1155,CHEMBL31
bms-206584-01,CHEMBL31
tequin,CHEMBL31
zymar,CHEMBL31
zymaxid,CHEMBL31
2-nitro-benzofuran,CHEMBL7438
ag-1295,CHEMBL7724
labetalol,CHEMBL429
normodyne,CHEMBL1200323
normozide,CHEMBL429
trandate,CHEMBL1200323
moxifloxacin,CHEMBL32
avelox,CHEMBL1200735
vigamox,CHEMBL1200735
avelox i.v.,CHEMBL32
levofloxacin,CHEMBL33
dr-3355,CHEMBL33
rwj-25213,CHEMBL33
evoxil,CHEMBL33
floxacin,CHEMBL33
iquix,CHEMBL33
levaquin,CHEMBL33
oftaquix,CHEMBL33
quinsair,CHEMBL33
quixin,CHEMBL33
tavanic,CHEMBL33
"2-nitronaphtho[2,1-b]furan",CHEMBL7174
flestolol,CHEMBL7467
gemifloxacin,CHEMBL430
u-87201e,CHEMBL280527
dq-113,CHEMBL7265
piritrexim,CHEMBL7492
tcmdc-137235,CHEMBL7492
bw-301u,CHEMBL7492
spirapril,CHEMBL431
sodium valproate,CHEMBL433
valproate sodium,CHEMBL433
abbott-44090,CHEMBL433
a-44090,CHEMBL433
abbott 44090,CHEMBL433
delepsine,CHEMBL433
depacon,CHEMBL433
depakine,CHEMBL433
depakote,CHEMBL2105613
depakote cp,CHEMBL2105613
depakote er,CHEMBL433
epilim,CHEMBL433
epilim 200,CHEMBL433
epilim 500,CHEMBL433
epilim chrono 200,CHEMBL433
epilim chrono 300,CHEMBL433
epilim chrono 500,CHEMBL433
epilim chronosphere,CHEMBL433
epilim iv,CHEMBL433
episenta,CHEMBL433
kentilim,CHEMBL433
orfiril,CHEMBL433
orlept,CHEMBL433
isoprenaline,CHEMBL1711
isoproterenol,CHEMBL434
2-methyl-5-methoxytryptamine,CHEMBL268800
sorbinil,CHEMBL266497
cp-45634,CHEMBL266497
hydrochlorothiazide,CHEMBL435
hctz,CHEMBL435
apo-hydro,CHEMBL435
esidrex,CHEMBL435
esidrix,CHEMBL435
hydro-d,CHEMBL435
hydrochlorothiazide intensol,CHEMBL435
hydrodiuril,CHEMBL435
hydrosaluric,CHEMBL435
microzide,CHEMBL435
oretic,CHEMBL435
zide,CHEMBL435
furosemide,CHEMBL35
frusemide,CHEMBL35
lb-502,CHEMBL35
aluzine 20,CHEMBL35
aluzine 40,CHEMBL35
aluzine 500,CHEMBL35
aquamed,CHEMBL35
disal,CHEMBL35
diuresal,CHEMBL35
dryptal,CHEMBL35
froop,CHEMBL35
frumax,CHEMBL35
frumil,CHEMBL35
frusetic,CHEMBL35
frusid,CHEMBL35
frusol,CHEMBL35
hydroled,CHEMBL35
lasix,CHEMBL35
lasix ret,CHEMBL35
rusyde,CHEMBL35
tenkofruse,CHEMBL35
hygromycin a,CHEMBL7611
bevirimat,CHEMBL404519
pa-457,CHEMBL2218911
pyrimethamine,CHEMBL36
tcmdc-123831,CHEMBL36
tcmdc-125860,CHEMBL36
gnf-pf-5586,CHEMBL36
chloridin,CHEMBL36
daraprim,CHEMBL36
malacide,CHEMBL36
tolrestat,CHEMBL436
ay-27773,CHEMBL436
alderase,CHEMBL436
alredase,CHEMBL436
sulfathiazole,CHEMBL437
sulfathiazole (triple sulfa),CHEMBL437
sulphathiazole,CHEMBL437
thiazamide,CHEMBL437
ponalrestat,CHEMBL7679
ici-128436,CHEMBL7679
sulfamerazine,CHEMBL438
sulfamerazine (trisulfapyrimidines),CHEMBL438
mesulfa,CHEMBL438
methypyrimal,CHEMBL438
sulfamethyldiazine,CHEMBL438
sumedin,CHEMBL438
sulfadiazine,CHEMBL439
sulfadiazine (trisulfapyrimidines),CHEMBL439
sildaflo,CHEMBL1382627
silvadene,CHEMBL1382627
ssd,CHEMBL439
sulfacombin,CHEMBL439
sulphadiazine,CHEMBL439
thermazene,CHEMBL1382627
adiazine,CHEMBL439
coco-diazine,CHEMBL439
diazyl,CHEMBL439
sulfapyrimidine,CHEMBL439
sulfolex,CHEMBL439
thiamylal,CHEMBL440
tcmdc-137806,CHEMBL7535
thiopental,CHEMBL738
dndi1416937,CHEMBL7571
cyclobarbital,CHEMBL268164
hexemal,CHEMBL268164
phanodorn,CHEMBL268164
ergotamine,CHEMBL442
ergotamine tartrate,CHEMBL2448612
whi-259,CHEMBL7701
whi-260,CHEMBL266090
tretinoin,CHEMBL38
acticin,CHEMBL38
atralin,CHEMBL38
avita,CHEMBL38
renova,CHEMBL38
retin-a,CHEMBL38
retin-a micro,CHEMBL38
retin-a-micro,CHEMBL38
tretin-x,CHEMBL38
vesanoid,CHEMBL38
9-oxiranyl-acridine,CHEMBL7796
5-ht,CHEMBL39
5-hydroxytryptamine,CHEMBL39
methohexital,CHEMBL7413
methohexitone,CHEMBL30219
phenobarbital,CHEMBL40
phenemal,CHEMBL40
phenylethylmalonylurea,CHEMBL40
eskabarb,CHEMBL40
luminal,CHEMBL40
noptil,CHEMBL40
phenobarbitone,CHEMBL40
solfoton,CHEMBL40
talpheno,CHEMBL40
fluoxetine,CHEMBL1201082
prozac,CHEMBL1201082
sarafem,CHEMBL1201082
symbyax,CHEMBL41
whi-261,CHEMBL7476
5-ome-dmt,CHEMBL7257
[2-(5-methoxy-1h-indol-3-yl)-ethyl]-dimethyl-amine,CHEMBL7257
whi-262,CHEMBL268585
ro-31-6233,CHEMBL266487
l-745870,CHEMBL555670
sulfamethoxazole,CHEMBL443
acetylsulfamethoxazole,CHEMBL443
sulfamethoxazole sodium,CHEMBL443
sulphamethoxazole,CHEMBL443
ro-42130,CHEMBL443
gantanol,CHEMBL443
gantanol-ds,CHEMBL443
sinomin,CHEMBL443
suphamethoxazole,CHEMBL443
urobak,CHEMBL443
gf-109203,CHEMBL7463
gf-109203x,CHEMBL7463
barbital,CHEMBL444
barbitone,CHEMBL444
diemal,CHEMBL444
diethylbarbituric acid,CHEMBL444
clozapine,CHEMBL538973
hf-1854,CHEMBL42
clozaril,CHEMBL42
fazaclo,CHEMBL42
fazaclo odt,CHEMBL42
versacloz,CHEMBL42
zaponex,CHEMBL42
nortriptyline,CHEMBL445
pamelor,CHEMBL1201156
allegron,CHEMBL445
aventyl,CHEMBL1201156
motipress,CHEMBL445
motival,CHEMBL445
sulfadimidine,CHEMBL446
sulfamethazine,CHEMBL446
sulfamethazine (trisulfapyrimidines),CHEMBL446
smz-med 454,CHEMBL446
sulfamezathine ('s-mez'),CHEMBL446
secobarbital,CHEMBL447
meballymal,CHEMBL447
seconal,CHEMBL447
pentobarbital,CHEMBL448
pentobarbital calcium,CHEMBL448
mebubarbital,CHEMBL448
mebumal,CHEMBL448
nembutal,CHEMBL971
mepacrine,CHEMBL7568
gnf-pf-5448,CHEMBL7568
amobarbital,CHEMBL267894
amylobarbitone,CHEMBL267894
pentymal,CHEMBL267894
amytal,CHEMBL267894
hexobarbital,CHEMBL7728
enhexymal,CHEMBL7728
evipal,CHEMBL7728
sombucaps,CHEMBL7728
sombulex,CHEMBL7728
secbutabarbital,CHEMBL449
butabarbital,CHEMBL1200982
secbutobarbitone,CHEMBL449
aprobarbital,CHEMBL7863
allypropymal,CHEMBL7863
alurate,CHEMBL7863
metharbital,CHEMBL450
endiemal,CHEMBL450
gemonil,CHEMBL450
allobarbital,CHEMBL267719
diallylbarbituric acid,CHEMBL267719
diallymal,CHEMBL267719
9-benzyl-9h-purine,CHEMBL267242
chlordiazepoxide,CHEMBL451
a-poxide,CHEMBL1200703
chlordiazachel,CHEMBL1200703
clopoxide,CHEMBL451
librium,CHEMBL1200703
lygen,CHEMBL1200703
librelease,CHEMBL451
libritabs,CHEMBL451
sarlib,CHEMBL451
trakipeal,CHEMBL451
zeisin,CHEMBL451
melagatran,CHEMBL266349
9-benzyl-9h-adenine,CHEMBL266094
9-benzyl-9h-purin-6-ylamine,CHEMBL266094
clonazepam,CHEMBL452
ro-5-4023,CHEMBL452
ro-54023,CHEMBL452
klonopin,CHEMBL452
klonopin rapidly disintegrating,CHEMBL452
rivotril,CHEMBL452
sulfafurazole,CHEMBL453
sulphafurazole,CHEMBL453
sulfisoxazole,CHEMBL453
eryzole,CHEMBL453
pediazole,CHEMBL453
entusil,CHEMBL453
gantrisin,CHEMBL1200910
neazolin,CHEMBL453
sosol,CHEMBL453
soxazole,CHEMBL453
sulfalar,CHEMBL453
sulsoxin,CHEMBL453
9-benzyl-6-methoxy-9h-purine,CHEMBL7446
sulfamethoxypyridazine,CHEMBL268869
sulphamethoxypyridazine,CHEMBL268869
lederkyn,CHEMBL268869
midicel,CHEMBL268869
succinylsulfathi,CHEMBL268869
sulfasuxidine,CHEMBL268869
butalbital,CHEMBL454
alisobumal,CHEMBL454
allylbarbituric acid,CHEMBL454
itobarbital,CHEMBL454
tetrallobarbital,CHEMBL454
sandoptal,CHEMBL454
sulfacetamide,CHEMBL455
sulfacetamide (triple sulfa),CHEMBL455
bleph-10,CHEMBL1723241
bleph-30,CHEMBL1723241
cetamide,CHEMBL1723241
fml-s,CHEMBL455
klaron,CHEMBL1723241
ocusulf-10,CHEMBL1723241
ocusulf-30,CHEMBL1723241
sulf-10,CHEMBL455
sulf-15,CHEMBL455
sulfacel-15,CHEMBL1723241
